Age,Gender,Annual_Family_Income,Place_Of_Residence,Current_Status,Family_status,Study/Work_Time,Hobbies_Time,Time_For_Perosnal_Needs,Time_with_Family&Relatives,Time_with_Partner,Time_with_Friends,Health&Happiness,Happiness_Scale,Study/work time,Hobbies time,Family time,Partner time,Friends time,Sum of all the time,Personal needs time
23,Male,More than 12 Lakhs,Urban,Student,with my family,6-8.5 hrs,1-2.5 hrs,6-8.5 hrs,1-2.5 hrs,1-2.5 hrs,1-2.5 hrs,3,2,7.25,1.75,1.75,1.75,1.75,14.25,9.75
23,Male,2 Lakhs - 6 Lakhs,Suburbs,Full Time Employed,with my family,1-2.5 hrs,0-0.5 hrs,9-11.5 hrs,0-0.5 hrs,0-0.5 hrs,0-0.5 hrs,4,3,1.75,0.25,0.25,0.25,0.25,2.75,21.25
23,Female,More than 12 Lakhs,Urban,Full Time Employed,with my family,9-11.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,1-2.5 hrs,0-0.5 hrs,2,3,10.25,0.25,1.75,1.75,0.25,14.25,9.75
23,Male,More than 12 Lakhs,Rural,Full Time Employed,with my family,6-8.5 hrs,1-2.5 hrs,9-11.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,0,3,7.25,1.75,1.75,0.25,0.25,11.25,12.75
23,Male,6 Lakhs - 12 Lakhs,Urban,Full Time Employed,with my family,6-8.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,1-2.5 hrs,1,1,7.25,0.25,1.75,0.25,1.75,11.25,12.75
23,Female,Less than 2 Lakhs,Urban,Student,with my family,1-2.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,0,1,1.75,0.25,1.75,0.25,0.25,4.25,19.75
23,Female,6 Lakhs - 12 Lakhs,Suburbs,"Student, Full Time Employed",away from my family,12+ hrs,0-0.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,0-0.5 hrs,0,3,12,0.25,0.25,0.25,0.25,13,11
23,Male,More than 12 Lakhs,Urban,Full Time Employed,away from my family,3-5.5 hrs,6-8.5 hrs,9-11.5 hrs,0-0.5 hrs,0-0.5 hrs,3-5.5 hrs,4,2,4.25,7.25,0.25,0.25,4.25,16.25,7.75
23,Male,More than 12 Lakhs,Suburbs,Full Time Employed,with my family,1-2.5 hrs,0-0.5 hrs,6-8.5 hrs,1-2.5 hrs,0-0.5 hrs,0-0.5 hrs,3,1,1.75,0.25,1.75,0.25,0.25,4.25,19.75
23,Male,More than 12 Lakhs,Urban,Full Time Employed,away from my family,9-11.5 hrs,1-2.5 hrs,9-11.5 hrs,0-0.5 hrs,0-0.5 hrs,1-2.5 hrs,0,0,10.25,1.75,0.25,0.25,1.75,14.25,9.75
23,Female,Less than 2 Lakhs,Urban,"Student, Self-employed",away from my family,3-5.5 hrs,1-2.5 hrs,9-11.5 hrs,0-0.5 hrs,0-0.5 hrs,1-2.5 hrs,3,1,4.25,1.75,0.25,0.25,1.75,8.25,15.75
23,Female,6 Lakhs - 12 Lakhs,Urban,"Unemployed, house wife ",away from my family,6-8.5 hrs,3-5.5 hrs,6-8.5 hrs,1-2.5 hrs,9-11.5 hrs,0-0.5 hrs,0,5,7.25,4.25,1.75,10.25,0.25,23.75,0.25
